STN,YYYYMMDD,RD,SX,# STN,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,ALFANUMERIEKEWAARDE,Bebouwd gebied,Dikke eerdgronden,Ingewikkelde samenstelling,Kalkloze zandgronden,Moerige gronden,Podzolgronden,Rivierkleigronden,Veengronden,Water
550,2020-09-21,    0,    0,260,7,12,15,30,15,0,8,   50,   14,149,77,6,253,13,43,    6,114,92,1558,0,0,0,    1,10159,10179,    1,10138,   24,1,   24,   83,   17,    0,76,98,6,35,13,26,20.81,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-22,    0,    0,260,227,6,11,20,11,0,4,   50,   13,141,52,6,236,15,19,    6,112,91,1478,0,0,0,    1,10096,10134,    1,10058,   24,0,    1,   77,   14,    1,76,99,1,35,13,24,15.27,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-23,    0,    0,260,194,32,34,70,14,10,1,  120,   13,162,95,3,218,13,62,    6,29,24,819,37,80,31,   22,10022,10055,    1,9972,   23,12,    2,   83,   15,    7,84,98,2,58,13,14,22.92,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-24,   89,    0,260,195,41,45,70,10,20,17,  130,   10,137,115,7,175,13,107,    6,62,51,950,40,67,25,   23,9991,10021,    8,9942,   23,57,   14,   83,   12,    5,79,92,22,55,12,15,18.82,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-25,   48,    0,260,187,38,52,70,11,30,23,  140,   11,109,88,6,135,13,80,    6,47,39,809,18,44,34,   17,9930,9947,    9,9904,   20,60,   15,   75,    8,    6,86,96,17,70,12,12,15.43,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-26,   49,    0,260,341,32,34,60,24,20,6,  120,   22,128,91,6,162,12,70,    6,72,60,1125,64,110,34,   23,9987,10009,   16,9938,    1,50,   24,   83,   15,    7,82,95,3,60,14,18,12.86,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-27,  148,    0,260,33,26,36,80,2,10,17,  160,    3,142,129,1,163,5,126,   24,13,11,675,26,34,22,    1,10031,10082,   23,9957,    2,44,    1,   75,   11,    8,85,96,2,72,14,11,18.66,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-28,   47,    0,260,174,21,22,30,9,20,1,   60,    9,128,121,22,137,15,121,   24,0,0,172,36,28,15,    3,10090,10120,   22,10067,    5,19,    3,   59,   17,    8,96,98,3,94,1,3,16.09,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-29,   24,    0,260,235,10,17,30,13,10,3,   50,    5,151,121,1,193,16,94,   24,35,30,839,60,28,7,   21,10149,10162,   21,10123,    1,3,   24,   82,   15,    8,86,99,24,53,14,14,15.25,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2020-09-30,   12,    0,260,160,22,23,30,7,20,1,   80,   21,153,120,1,184,13,87,    6,22,19,509,12,17,12,   14,10117,10154,    1,10063,   24,11,    1,   70,   16,    7,92,98,1,81,13,8,17.55,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
