YYYYMMDD,ALFANUMERIEKEWAARDE,STN,RD,SX,# STN,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,Bebouwd gebied,Dikke eerdgronden,Kalkhoudende zandgronden,Kalkloze zandgronden,Oude rivierkleigronden,Podzolgronden,Rivierkleigronden,Water
2021-01-01,2491.93,920,0,0,375,  231,   29,   30,   40,   13,   10,    1,   60,   14,24,-9,8,61,13,  -20,   12,21,27,275,8,4,3,   20,10089,10121,   24,10061,    1,    5,    4,   70,   12,    8,93,98,3,82,12,3,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-01-01,3247.18,920,0,0,375,  206,   44,   46,   60,   10,   30,    3,   90,   12,126,113,21,141,12,  104,   24,29,37,267,0,0,0,    1,10217,10239,    9,10176,   24,   61,    1,   75,   12,    8,84,92,3,77,24,4,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2023-01-01,3125.13,920,41,0,375,  210,   54,   59,  110,    1,   30,   11,  170,    2,125,105,22,166,2,  102,   12,5,6,177,78,76,33,    9,10126,10151,   16,10084,    1,   58,    9,   83,    2,    8,79,96,22,52,1,3,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2021-02-01,5424.47,920,6,0,375,   32,   10,   26,   40,    1,   10,   12,   60,    1,20,7,1,38,15,    5,    6,0,0,212,2,1,1,   16, 9957,10035,   24, 9909,    5,    9,   20,   62,    1,    8,94,98,20,89,14,2,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-02-01,1853.72,920,38,0,375,  258,   52,   56,   90,   10,   30,    1,  130,   10,67,23,2,99,19,   17,    6,0,0,90,45,18,5,   12,10158,10214,    1,10118,   14,   23,   11,   75,   17,    8,86,97,9,77,17,1,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2023-02-01,1880.39,920,7,0,375,  260,   67,   68,   90,   12,   40,    1,  170,   13,71,40,1,87,22,   29,    6,6,7,248,0,-1,-1,    1,10195,10212,   24,10184,   14,   65,   23,   75,    2,    7,76,81,4,70,14,3,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2021-03-01,2191.58,920,0,0,375,   69,   45,   45,   60,    2,   30,   20,   90,    2,40,7,24,81,15,   -7,   24,37,34,708,0,0,0,    1,10335,10351,    1,10317,   21,   20,    1,   65,   15,    4,91,97,1,77,15,9,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-03-01,2863.68,920,0,0,375,  115,   15,   19,   30,    9,   10,    3,   50,    9,46,-4,6,89,17,  -40,    6,25,23,618,0,0,0,    1,10279,10289,   10,10269,   24,   65,   19,   82,   12,    8,67,80,5,52,14,8,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2023-03-01,1429.42,920,0,0,375,   43,   33,   35,   60,   11,   10,    1,   90,   11,20,-38,7,66,14,  -67,   12,99,91,1264,0,0,0,    1,10274,10311,    1,10247,   22,   70,    7,   83,   17,    0,62,81,7,44,16,14,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2021-04-01,1753.16,920,0,0,375,  360,   26,   30,   50,   13,   10,    1,   90,   14,114,35,24,174,14,   20,   24,108,84,1761,0,0,0,    1,10223,10262,   23,10194,    3,   50,   10,   83,   18,    2,64,86,24,43,17,27,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-04-01,1209.83,920,149,998,375,   32,   53,   54,   70,    6,   30,   19,  140,   13,17,1,1,36,15,    0,    6,1,1,423,58,29,9,    3,10100,10152,   24,10034,    1,   17,    1,   83,   21,    8,80,97,1,62,22,5,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2023-04-01,2814.9,920,80,0,375,  276,   30,   49,   80,    1,   20,   17,  110,    1,94,68,24,108,13,   65,   24,0,0,422,159,121,14,   18, 9993,10105,   24, 9915,    1,   26,    4,   70,   24,    8,94,97,4,90,24,6,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2021-05-01,1177.53,920,0,0,375,  264,   23,   25,   40,   15,   10,   22,   80,   14,77,11,5,137,14,  -27,    6,95,64,1894,0,0,0,    1,10142,10157,   24,10131,   14,   21,    5,   83,   16,    3,70,97,4,44,14,26,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-05-01,1931.04,920,0,0,375,   15,   13,   15,   20,    7,   10,    1,   50,   12,105,50,24,153,16,    3,   24,43,29,1587,0,0,0,    1,10233,10249,    1,10217,   24,   65,    6,   82,   19,    8,66,91,24,40,16,24,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2023-05-01,2250.93,920,0,0,375,  333,   14,   23,   50,   14,   10,    4,   90,   14,134,93,5,186,12,   81,    6,65,44,1875,0,0,0,    1,10162,10200,   24,10147,   11,   57,   23,   83,   18,    7,69,88,23,50,13,30,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2021-06-01,2363.92,920,0,0,375,   84,   32,   34,   60,   16,   20,    4,  100,   17,188,103,4,249,15,   52,    6,152,93,2988,0,0,0,    1,10168,10191,    1,10145,   18,   75,    4,   83,    1,    0,49,73,4,30,12,53,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-06-01,1420.25,920,64,0,375,  263,   28,   32,   50,   10,   10,    3,  120,   14,123,72,4,175,14,   52,   24,105,64,2052,8,37,21,   10,10160,10199,   24,10136,    3,   42,    4,   83,   14,    5,75,97,1,44,15,32,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2023-06-01,1833.24,920,0,0,375,    4,   35,   38,   50,   15,   30,    1,  100,   17,138,98,2,200,14,   89,    6,124,76,2876,0,0,0,    1,10225,10237,    5,10211,   18,   65,    3,   81,   17,    4,69,88,2,49,13,46,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2021-07-01,2693.23,920,65,0,375,  253,   33,   33,   50,   13,   20,    5,   80,   13,139,127,4,151,18,  126,    6,0,0,401,29,12,7,   13,10158,10170,   21,10145,    1,   27,    1,   70,   18,    8,91,95,1,81,18,6,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
2022-07-01,1438.5,920,93,0,375,  236,   35,   38,   70,   11,    0,   21,  110,   12,163,124,24,213,14,   90,   24,86,52,2371,0,0,0,    1,10185,10220,   24,10150,    1,   56,    2,   83,   17,    5,73,95,1,50,12,40,0.0406625488640285,0.040661603511718,0.0077095638716945,0.0435524501012848,0.0491280003395514,0.0981883370869682,0.6351519718130394,0.0849455244117148
