STN,YYYYMMDD,RD,SX,# STN,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,ALFANUMERIEKEWAARDE,Bebouwd gebied,Ingewikkelde samenstelling,Kalkhoudende zandgronden,Kalkloze zandgronden,Moerige gronden,Podzolgronden,Rivierkleigronden,Veengronden,Water,Zeekleigronden
563,2020-09-21,    0,    0,240,42,17,20,40,2,10,6,60,2,161,92,5,239,15,   45,    6,114,92,1549,    0,0,0,1,10160,10181,1,10139,24,   47,   24,   82,   13,    0,73,95,24,38,14,26,24.04,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-22,    0,    0,240,257,9,16,30,15,0,6,70,9,151,71,5,227,14,   30,    6,103,84,1484,    0,0,0,1,10095,10134,1,10054,24,    0,    5,   82,   15,    1,75,99,5,45,13,25,13.0,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-23,    0,    0,240,191,50,52,90,12,20,1,130,12,163,126,1,211,12,   78,    6,31,25,828,   50,248,102,22,10016,10049,1,9964,23,   27,    4,   80,   12,    7,86,94,4,65,12,14,22.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-24,  167,    0,240,193,60,70,110,11,20,17,170,2,139,120,6,168,13,  104,   12,46,38,859,    6,8,7,17,9982,10010,8,9935,23,   70,    1,   83,   12,    6,76,89,17,55,11,14,23.91,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-25,   62,    0,240,177,56,68,110,13,20,21,160,13,110,88,6,137,13,   76,   24,46,38,768,   32,55,18,16,9920,9937,24,9897,19,   50,   13,   75,    2,    6,85,95,21,73,10,12,20.38,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-26,   32,    0,240,345,42,44,90,24,20,6,150,24,131,70,6,171,12,   56,    6,60,50,1017,   37,74,30,24,9991,10013,18,9946,1,   56,   24,   82,   12,    7,80,94,5,61,12,16,12.39,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-27,   62,    0,240,20,42,49,100,1,10,16,170,3,149,135,1,167,6,  131,    6,15,13,666,   38,38,21,1,10034,10079,23,9969,2,   39,    2,   75,    8,    8,86,94,21,73,12,11,22.81,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-28,   39,    0,240,161,20,22,30,2,10,6,50,3,139,128,23,150,15,  129,   24,0,0,154,   63,50,15,2,10086,10117,22,10064,3,    3,    9,   42,   12,    8,97,98,7,95,1,2,16.26,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-29,   14,    0,240,272,17,27,40,4,10,1,60,4,155,130,24,183,13,  114,   24,68,58,1104,   23,12,7,21,10146,10159,20,10119,1,   23,    1,   83,   14,    7,82,98,1,57,13,18,21.04,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-09-30,   11,    0,240,163,38,40,50,12,30,1,80,12,152,118,3,186,15,  106,    6,19,16,565,   12,6,3,9,10112,10148,1,10057,24,    5,    3,   72,   15,    8,90,98,3,79,14,9,20.0,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-01,   27,    0,240,159,46,53,80,13,30,23,160,16,135,92,24,158,1,   80,   24,0,0,288,   63,42,11,12,9992,10046,1,9958,15,   59,    9,   70,    1,    7,90,94,24,87,1,5,23.09,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-02,   79,    0,240,75,57,59,80,20,30,3,120,21,130,79,3,158,14,   69,    6,14,12,634,    5,2,2,23,9937,9976,1,9898,24,   56,    3,   75,   10,    8,84,96,3,72,13,10,30.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-03,    2,    0,240,122,32,49,80,1,30,8,120,1,126,96,23,145,11,   85,   24,0,0,144,   55,74,31,15,9884,9898,15,9854,24,   56,    9,   65,   13,    7,91,95,16,87,3,2,22.53,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-04,   62,    0,240,164,73,78,120,11,30,2,170,11,119,91,1,149,15,   83,    6,33,29,641,   10,12,10,9,9888,9934,24,9838,5,   57,    9,   83,   15,    7,80,95,1,62,14,10,34.57,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-05,    1,    0,240,173,72,76,100,4,60,14,170,4,120,100,8,149,15,   99,   12,14,12,360,   77,189,71,24,9954,9976,18,9932,3,   57,    7,   75,    1,    8,88,96,24,80,1,6,18.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-06,  165,    0,240,217,52,57,80,10,20,19,120,10,129,112,22,153,15,  104,   24,22,19,494,   54,115,33,21,9966,9995,24,9947,11,   56,   22,   75,   12,    8,87,95,23,77,16,8,15.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-07,  178,    0,240,267,52,56,90,11,30,1,140,11,130,101,23,153,14,   93,   24,25,22,601,    4,21,11,4,10096,10150,21,10003,1,   60,    4,   80,   18,    7,79,89,1,66,20,9,42.99,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
