MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;00:40:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;00:50:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;01:00:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;01:10:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;01:20:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;01:30:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;01:40:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;01:50:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;02:00:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;02:10:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
