date,Q,target
2025-01-13,3314.064000000001,4163.19
2025-01-14,3330.5520000000006,3799.99
2025-01-15,3039.9920000000006,3328.8
2025-01-16,2663.040000000001,2873.8
2025-01-17,2299.040000000001,2520.54
2025-01-18,2016.4320000000007,2283.67
2025-01-19,1826.9360000000006,2104.86
2025-01-20,1683.8880000000006,1991.57
2025-01-21,1593.2560000000005,1896.18
2025-01-22,1516.9440000000006,1815.03
2025-01-23,1452.0240000000006,1760.54
2025-01-24,1408.4320000000005,1751.02
2025-01-25,1400.8160000000005,1804.78
2025-01-26,1443.8240000000005,1940.06
2025-01-27,1552.0480000000005,2057.7
2025-01-28,1651.951043823004,2200.64
2025-01-29,1760.5120000000004,2328.45
2025-01-30,2335.4485671470266,2425.11
2025-01-31,1940.0880000000006,2542.81
2025-02-01,2034.2480000000007,2672.08
2025-02-02,2137.6640000000007,2656.61
2025-02-03,2126.157984607669,2483.55
2025-02-04,1986.8400000000008,2294.03
2025-02-05,1835.2240000000008,2097.71
2025-02-06,1681.4985142153364,1951.58
2025-02-07,1561.2640000000004,1844.02
2025-02-08,1475.2160000000006,1763.24
2025-02-09,1410.5920000000006,1702.2
2025-02-10,1361.7600000000004,1649.48
2025-02-11,1319.5840000000005,1614.47
2025-02-12,1304.7486326460082,1571.69
2025-02-13,1257.3520000000005,1594.09
2025-02-14,1275.2720000000004,1622.08
2025-02-15,1297.6640000000004,1690.96
2025-02-16,1361.0195734306722,1851.41
2025-02-17,1481.1280000000006,1958.33
2025-02-18,1583.52742705751,1896.32
2025-02-19,1517.0560000000005,1780.16
2025-02-20,1424.1280000000006,1684.07
2025-02-21,1350.5865142153361,1620.26
2025-02-22,1296.2080000000003,1582.15
2025-02-23,1271.5110438230042,1541.33
2025-02-24,1233.0640000000003,1516.46
2025-02-25,1221.419573430672,1502.03
2025-02-26,1201.6240000000005,1487.46
2025-02-27,1189.9680000000005,1485.62
2025-02-28,1188.4960000000003,1511.65
2025-03-01,1212.6505142153362,1560.06
2025-03-02,1248.0480000000005,1599.37
2025-03-03,1292.1877257651558,1600.27
2025-03-04,1280.2160000000003,1562.35
