date,Q,target
2025-01-13,1035.6450000000002,4163.19
2025-01-14,1040.7975000000001,3799.99
2025-01-15,949.9975000000002,3328.8
2025-01-16,832.2000000000003,2873.8
2025-01-17,718.4500000000002,2520.54
2025-01-18,630.1350000000001,2283.67
2025-01-19,570.9175000000001,2104.86
2025-01-20,526.2150000000001,1991.57
2025-01-21,497.8925000000001,1896.18
2025-01-22,474.04500000000013,1815.03
2025-01-23,453.7575000000001,1760.54
2025-01-24,443.16824871096355,1751.02
2025-01-25,440.6158680434568,1804.78
2025-01-26,453.8933579428334,1940.06
2025-01-27,489.75356121699406,2057.7
2025-01-28,522.496120065418,2200.64
2025-01-29,558.5941775648594,2328.45
2025-01-30,591.793338935413,2425.11
2025-01-31,615.404949458798,2542.81
2025-02-01,644.308582008285,2672.08
2025-02-02,677.8913853462262,2656.61
2025-02-03,673.4599494759258,2483.55
2025-02-04,932.7930240288246,2294.03
2025-02-05,896.8536188764261,2097.71
2025-02-06,1412.8599399301434,1951.58
2025-02-07,1385.798643121136,1844.02
2025-02-08,1424.9692775275787,1763.24
2025-02-09,1337.8363238778572,1702.2
2025-02-10,1403.3134108436398,1649.48
2025-02-11,1537.7955439264565,1614.47
2025-02-12,1599.5784142301334,1571.69
2025-02-13,1502.056903567117,1594.09
2025-02-14,1428.0372304773412,1622.08
2025-02-15,1361.9270790040823,1690.96
2025-02-16,1311.933864102591,1851.41
2025-02-17,1326.4468330632096,1958.33
2025-02-18,1302.3152265441086,1896.32
2025-02-19,1231.1467657775124,1780.16
2025-02-20,1150.7145517566014,1684.07
2025-02-21,1079.1967818057435,1620.26
2025-02-22,1019.3074218732804,1582.15
2025-02-23,1357.0387723006943,1541.33
2025-02-24,1435.0758547481587,1516.46
2025-02-25,1411.243015073251,1502.03
2025-02-26,1335.0061223401572,1487.46
2025-02-27,1264.5194074321103,1485.62
2025-02-28,1202.467948790038,1511.65
2025-03-01,1152.1608190719676,1560.06
2025-03-02,1111.7992972906807,1599.37
2025-03-03,1073.1309857103279,1600.27
2025-03-04,1028.4846998343019,1562.35
2025-03-05,977.4485205039977,1525.16
2025-03-06,1054.6259158396008,1486.75
2025-03-07,1177.1759986377679,1462.16
2025-03-08,1116.8335877524987,1433.6
2025-03-09,1123.3953642705858,1391.62
2025-03-10,1382.1567162445542,1351.05
2025-03-11,1469.2994412448259,1317.11
2025-03-12,1581.7669006825836,1291.27
2025-03-13,1483.4122079210965,1265.87
2025-03-14,1392.8996286162546,1253.45
2025-03-15,1312.607398712582,1241.58
2025-03-16,1238.7566299265727,1278.62
2025-03-17,1182.840438893122,1350.72
2025-03-18,1140.8646071749577,1358.3
2025-03-19,1087.4595372554697,1308.37
2025-03-20,1023.9533084818286,1240.48
2025-03-21,959.8531689027293,1188.3
2025-03-22,903.2353253433371,1147.99
2025-03-23,852.8329159132761,1121.22
2025-03-24,808.7870672833772,1107.9
2025-03-25,832.8962245178693,1103.34
2025-03-26,795.3672285285238,1086.34
2025-03-27,757.3477023421453,1063.14
2025-03-28,720.1841959012913,1071.78
2025-03-29,693.1932018893283,1072.92
2025-03-30,666.3640353278674,1056.74
2025-03-31,637.0819650496431,1025.39
2025-04-01,605.7390642154728,1003.28
2025-04-02,578.3052516791292,985.71
2025-04-03,553.4844999366982,968.51
2025-04-04,666.8456809441886,969.58
2025-04-05,640.4124338992941,963.95
2025-04-06,614.1132259256137,938.77
2025-04-07,629.3875553196933,919.33
2025-04-08,599.9469329668402,900.76
2025-04-09,572.365020908845,888.23
2025-04-10,591.122854309493,881.39
2025-04-11,566.6149107748288,875.29
2025-04-12,543.7947719304779,860.58
2025-04-13,520.2160439046098,849.24
2025-04-14,498.77372413364145,849.41
2025-04-15,481.4108763894759,849.7
2025-04-16,465.19539195800127,843.54
2025-04-17,448.40682702159654,852.11
2025-04-18,436.26830754805826,870.83
2025-04-19,427.5684940690901,912.2
2025-04-20,425.37109966767434,949.02
2025-04-21,422.81945530593396,1027.26
2025-04-22,431.35361733101644,1083.56
2025-04-23,435.08501261096177,1061.7
2025-04-24,419.91361728814985,1087.06
2025-04-25,460.5614532130863,1218.19
2025-04-26,494.5716634405844,1281.67
2025-04-27,499.1739930006319,1261.0
2025-04-28,557.6963094187088,1219.04
2025-04-29,686.4555895791364,1199.98
2025-04-30,900.3682741626778,1166.68
2025-05-01,853.3260253447439,1114.18
2025-05-02,804.2102132007442,1052.71
2025-05-03,1098.109320872724,1001.13
2025-05-04,1028.7036110555453,965.34
2025-05-05,967.5127777703894,957.14
2025-05-06,1307.02311673325,963.96
2025-05-07,1401.1688555215865,1001.86
2025-05-08,1326.9804781206585,1024.06
2025-05-09,1255.7507320189109,1058.58
2025-05-10,1193.82741797958,1138.04
2025-05-11,1148.7806816815935,1169.28
2025-05-12,1096.7990133595526,1147.68
2025-05-13,1036.2614873120726,1100.91
2025-05-14,973.6685550325911,1064.12
2025-05-15,917.4337358934542,1031.7
2025-05-16,865.8185742602401,1003.84
2025-05-17,818.5682525921885,992.57
2025-05-18,778.417767272228,980.2
2025-05-19,740.698588233168,951.46
