DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
332,19130610,   50,     ,
332,19130611,   39,     ,
332,19130612,   64,     ,
332,19130613,   56,     ,
332,19130614,    8,     ,
332,19130615,    0,     ,
332,19130616,    0,     ,
332,19130617,    0,     ,
332,19130618,    0,     ,
332,19130619,    0,     ,
332,19130620,    0,     ,
332,19130621,  110,     ,
332,19130622,   95,     ,
332,19130623,    0,     ,
332,19130624,   34,     ,
332,19130625,  105,     ,
332,19130626,   16,     ,
332,19130627,   34,     ,
332,19130628,   48,     ,
332,19130629,   12,     ,
332,19130630,   36,     ,
332,19130701,    0,     ,
332,19130702,    8,     ,
332,19130703,   10,     ,
332,19130704,    0,     ,
332,19130705,    0,     ,
332,19130706,   15,     ,
332,19130707,  140,     ,
332,19130708,   28,     ,
332,19130709,   38,     ,
332,19130710,   25,     ,
332,19130711,    0,     ,
332,19130712,    0,     ,
332,19130713,    0,     ,
332,19130714,    0,     ,
332,19130715,  160,     ,
332,19130716,   44,     ,
332,19130717,    0,     ,
332,19130718,   14,     ,
332,19130719,   36,     ,
332,19130720,   45,     ,
332,19130721,   14,     ,
332,19130722,   16,     ,
332,19130723,  148,     ,
332,19130724,    6,     ,
332,19130725,    0,     ,
332,19130726,    0,     ,
332,19130727,    0,     ,
332,19130728,    0,     ,
332,19130729,    0,     ,
332,19130730,    0,     ,
332,19130731,    0,     ,
332,19130801,    0,     ,
332,19130802,    0,     ,
332,19130803,    0,     ,
332,19130804,    0,     ,
332,19130805,    0,     ,
332,19130806,    0,     ,
332,19130807,   13,     ,
332,19130808,    9,     ,
332,19130809,    0,     ,
332,19130810,    0,     ,
332,19130811,   38,     ,
332,19130812,  146,     ,
332,19130813,    0,     ,
332,19130814,   66,     ,
332,19130815,    0,     ,
332,19130816,    0,     ,
332,19130817,    0,     ,
332,19130818,    0,     ,
332,19130819,    0,     ,
332,19130820,    0,     ,
332,19130821,    0,     ,
332,19130822,    0,     ,
332,19130823,    0,     ,
332,19130824,    0,     ,
332,19130825,    0,     ,
332,19130826,    0,     ,
332,19130827,    0,     ,
332,19130828,    0,     ,
332,19130829,    0,     ,
332,19130830,    0,     ,
332,19130831,    0,     ,
332,19130901,    0,     ,
332,19130902,   86,     ,
332,19130903,   12,     ,
332,19130904,    0,     ,
332,19130905,    0,     ,
332,19130906,    0,     ,
332,19130907,    0,     ,
332,19130908,    0,     ,
332,19130909,    0,     ,
332,19130910,   38,     ,
332,19130911,    0,     ,
332,19130912,    0,     ,
332,19130913,    0,     ,
332,19130914,    0,     ,
332,19130915,  118,     ,
332,19130916,   58,     ,
332,19130917,   12,     ,
332,19130918,    0,     ,
332,19130919,    0,     ,
332,19130920,    0,     ,
332,19130921,    0,     ,
332,19130922,  146,     ,
332,19130923,    0,     ,
332,19130924,    0,     ,
332,19130925,    0,     ,
332,19130926,    0,     ,
332,19130927,    0,     ,
332,19130928,    0,     ,
332,19130929,    0,     ,
332,19130930,    0,     ,
