DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
920,19710101,    0,    4,
920,19710102,   11,    4,
920,19710103,    3,    4,
920,19710104,    9,    4,
920,19710105,    0,    4,
920,19710106,    0,    4,
920,19710107,    0,    4,
920,19710108,    1,  997,
920,19710109,    0,    0,
920,19710110,    0,    0,
920,19710111,    0,    0,
920,19710112,    0,    0,
920,19710113,    1,    0,
920,19710114,    0,    0,
920,19710115,    0,    0,
920,19710116,    7,    0,
920,19710117,   11,    0,
920,19710118,    1,    0,
920,19710119,    6,    0,
920,19710120,   10,    0,
920,19710121,   11,    0,
920,19710122,   16,    0,
920,19710123,   41,    0,
920,19710124,   74,    0,
920,19710125,   17,    0,
920,19710126,   73,    0,
920,19710127,   60,    0,
920,19710128,   75,    0,
920,19710129,   42,    0,
920,19710130,    1,    0,
920,19710131,   42,    0,
920,19710201,    2,    0,
920,19710202,    0,    0,
920,19710203,   20,  997,
920,19710204,   19,    0,
920,19710205,    3,    0,
920,19710206,    4,    0,
920,19710207,    4,    0,
920,19710208,    7,    0,
920,19710209,    1,    0,
920,19710210,    0,    0,
920,19710211,    1,    0,
920,19710212,    0,    0,
920,19710213,   14,    0,
920,19710214,   16,    0,
920,19710215,    2,    0,
920,19710216,   83,    0,
920,19710217,   27,    0,
920,19710218,   38,    0,
920,19710219,    7,    0,
920,19710220,    1,    0,
920,19710221,   44,    0,
920,19710222,    5,    0,
920,19710223,    4,    0,
920,19710224,    1,    0,
920,19710225,    3,    0,
920,19710226,    1,    0,
920,19710227,    2,    0,
920,19710228,    1,    0,
920,19710301,    1,  997,
920,19710302,    3,    0,
920,19710303,   20,    8,
920,19710304,    0,    2,
920,19710305,    1,    4,
920,19710306,   55,   15,
920,19710307,    0,   15,
920,19710308,    0,    4,
920,19710309,    8,    4,
920,19710310,    7,    0,
920,19710311,    9,    0,
920,19710312,   54,    2,
920,19710313,    8,    0,
920,19710314,    3,    0,
920,19710315,    5,    0,
920,19710316,    2,    0,
920,19710317,   52,    0,
920,19710318,   36,    0,
920,19710319,    9,    0,
920,19710320,   46,    0,
920,19710321,    2,    0,
920,19710322,    3,    0,
920,19710323,    0,    0,
920,19710324,    4,    0,
920,19710325,   20,    0,
920,19710326,   44,    0,
920,19710327,   17,    0,
920,19710328,   16,    0,
920,19710329,    0,    0,
920,19710330,    0,    0,
920,19710331,    0,    0,
920,19710401,    0,    0,
920,19710402,    0,    0,
920,19710403,    3,    0,
920,19710404,    9,    0,
920,19710405,    0,    0,
920,19710406,    0,    0,
920,19710407,    0,    0,
920,19710408,    0,    0,
920,19710409,    0,    0,
920,19710410,    0,    0,
920,19710411,    0,    0,
920,19710412,    0,    0,
920,19710413,    0,    0,
920,19710414,    0,    0,
920,19710415,    0,    0,
920,19710416,    0,    0,
920,19710417,   20,    0,
920,19710418,   40,    0,
920,19710419,    0,    0,
920,19710420,    0,    0,
920,19710421,    0,    0,
920,19710422,    0,    0,
920,19710423,    1,    0,
920,19710424,   44,    0,
920,19710425,   55,    0,
920,19710426,    0,    0,
920,19710427,  184,    0,
920,19710428,    2,    0,
920,19710429,    1,    0,
920,19710430,    0,    0,
920,19710501,    0,    0,
920,19710502,    0,    0,
920,19710503,    0,    0,
920,19710504,    0,    0,
920,19710505,    0,    0,
920,19710506,    0,    0,
920,19710507,    0,    0,
920,19710508,    0,    0,
920,19710509,    0,    0,
920,19710510,   29,    0,
920,19710511,    0,    0,
920,19710512,    0,    0,
920,19710513,    1,    0,
920,19710514,   38,    0,
920,19710515,   76,    0,
920,19710516,   58,    0,
920,19710517,  286,    0,
920,19710518,  105,    0,
920,19710519,    0,    0,
920,19710520,    0,    0,
920,19710521,    0,    0,
920,19710522,   38,    0,
920,19710523,  119,    0,
920,19710524,   90,    0,
920,19710525,   15,    0,
920,19710526,    4,    0,
920,19710527,    0,    0,
920,19710528,   52,    0,
920,19710529,   18,    0,
920,19710530,    0,    0,
920,19710531,    0,    0,
920,19710601,    0,    0,
920,19710602,    0,    0,
920,19710603,    0,    0,
920,19710604,   28,    0,
920,19710605,    2,    0,
920,19710606,    0,    0,
920,19710607,    0,    0,
920,19710608,    0,    0,
920,19710609,    0,    0,
920,19710610,    0,    0,
920,19710611,    6,    0,
920,19710612,   33,    0,
920,19710613,   17,    0,
920,19710614,    0,    0,
920,19710615,  190,    0,
920,19710616,   64,    0,
920,19710617,   67,    0,
920,19710618,   56,    0,
920,19710619,  131,    0,
920,19710620,  123,    0,
920,19710621,  103,    0,
920,19710622,   23,    0,
920,19710623,    0,    0,
920,19710624,    0,    0,
920,19710625,    0,    0,
920,19710626,    3,    0,
920,19710627,   56,    0,
920,19710628,   64,    0,
920,19710629,  138,    0,
920,19710630,   69,    0,
920,19710701,    0,    0,
920,19710702,    0,    0,
920,19710703,    0,    0,
920,19710704,    0,    0,
920,19710705,    0,    0,
920,19710706,    0,    0,
920,19710707,    0,    0,
920,19710708,    0,    0,
920,19710709,    0,    0,
920,19710710,    0,    0,
920,19710711,    0,    0,
920,19710712,    0,    0,
920,19710713,    0,    0,
920,19710714,    0,    0,
920,19710715,    0,    0,
920,19710716,    0,    0,
920,19710717,    0,    0,
920,19710718,    0,    0,
920,19710719,    0,    0,
920,19710720,    0,    0,
920,19710721,    0,    0,
920,19710722,   38,    0,
920,19710723,   35,    0,
920,19710724,   29,    0,
920,19710725,   17,    0,
920,19710726,   17,    0,
920,19710727,    0,    0,
920,19710728,   49,    0,
920,19710729,   78,    0,
920,19710730,   12,    0,
920,19710731,    0,    0,
920,19710801,    0,    0,
920,19710802,    0,    0,
920,19710803,    0,    0,
920,19710804,   38,    0,
920,19710805,    0,    0,
920,19710806,    5,    0,
920,19710807,    4,    0,
920,19710808,   14,    0,
920,19710809,    0,    0,
920,19710810,    0,    0,
920,19710811,    5,    0,
920,19710812,    9,    0,
920,19710813,    4,    0,
920,19710814,   37,    0,
920,19710815,   73,    0,
920,19710816,   10,    0,
920,19710817,    0,    0,
920,19710818,    0,    0,
920,19710819,   27,    0,
920,19710820,   21,    0,
920,19710821,   53,    0,
920,19710822,    0,    0,
920,19710823,    0,    0,
920,19710824,    0,    0,
920,19710825,    0,    0,
920,19710826,    0,    0,
920,19710827,   11,    0,
920,19710828,   36,    0,
920,19710829,    0,    0,
920,19710830,    0,    0,
920,19710831,  162,    0,
920,19710901,    9,    0,
920,19710902,    5,    0,
920,19710903,    0,    0,
920,19710904,    0,    0,
920,19710905,    0,    0,
920,19710906,    0,    0,
920,19710907,    0,    0,
920,19710908,    0,    0,
920,19710909,    0,    0,
920,19710910,    0,    0,
920,19710911,    2,    0,
920,19710912,    0,    0,
920,19710913,    3,    0,
920,19710914,    0,    0,
920,19710915,    4,    0,
920,19710916,    0,    0,
920,19710917,    0,    0,
920,19710918,    0,    0,
920,19710919,    0,    0,
920,19710920,    0,    0,
920,19710921,    0,    0,
920,19710922,    0,    0,
920,19710923,    0,    0,
920,19710924,  188,    0,
920,19710925,   15,    0,
