DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
563,19181025,    0,     ,
563,19181026,    8,     ,
563,19181027,    0,     ,
563,19181028,    0,     ,
563,19181029,    0,     ,
563,19181030,    0,     ,
563,19181031,    0,     ,
563,19181101,    3,     ,
563,19181102,    0,     ,
563,19181103,   61,     ,
563,19181104,    0,     ,
563,19181105,    7,     ,
563,19181106,   35,     ,
563,19181107,  140,     ,
563,19181108,    1,     ,
563,19181109,    9,     ,
563,19181110,    0,     ,
563,19181111,    2,     ,
563,19181112,   16,     ,
563,19181113,    6,     ,
563,19181114,    0,     ,
563,19181115,    0,     ,
563,19181116,    0,     ,
563,19181117,    0,     ,
563,19181118,   20,     ,
563,19181119,    6,     ,
563,19181120,    4,     ,
563,19181121,    0,     ,
563,19181122,    0,     ,
563,19181123,    0,     ,
563,19181124,    0,     ,
563,19181125,    0,     ,
563,19181126,    3,     ,
563,19181127,   15,     ,
563,19181128,   44,     ,
563,19181129,   12,     ,
563,19181130,    2,     ,
563,19181201,    0,     ,
563,19181202,   18,     ,
563,19181203,   23,     ,
563,19181204,   45,     ,
563,19181205,    0,     ,
563,19181206,    1,     ,
563,19181207,    2,     ,
563,19181208,    9,     ,
563,19181209,    2,     ,
563,19181210,    2,     ,
563,19181211,   56,     ,
563,19181212,    1,     ,
563,19181213,   78,     ,
563,19181214,   37,     ,
563,19181215,   65,     ,
563,19181216,   24,     ,
563,19181217,   53,     ,
563,19181218,   43,     ,
563,19181219,   83,     ,
563,19181220,   22,     ,
563,19181221,    3,     ,
563,19181222,    0,     ,
563,19181223,   49,     ,
563,19181224,    8,     ,
563,19181225,    6,     ,
563,19181226,   26,     ,
563,19181227,    2,     ,
563,19181228,  116,     ,
563,19181229,   45,     ,
563,19181230,   40,     ,
563,19181231,   16,     ,
563,19190101,    0,     ,
563,19190102,  103,     ,
563,19190103,    5,     ,
563,19190104,   47,     ,
563,19190105,   12,     ,
563,19190106,   12,     ,
563,19190107,    1,     ,
563,19190108,    0,     ,
563,19190109,    0,     ,
563,19190110,   36,     ,
563,19190111,    0,     ,
563,19190112,    1,     ,
563,19190113,    0,     ,
563,19190114,    0,     ,
563,19190115,   93,     ,
563,19190116,   73,     ,
563,19190117,    3,     ,
563,19190118,   30,     ,
563,19190119,   34,     ,
563,19190120,    0,     ,
563,19190121,    0,     ,
563,19190122,    0,     ,
563,19190123,    0,     ,
563,19190124,    0,     ,
563,19190125,    0,     ,
563,19190126,    0,     ,
563,19190127,   38,     ,
563,19190128,   26,     ,
563,19190129,    0,     ,
563,19190130,    0,     ,
563,19190131,    0,     ,
563,19190201,    0,     ,
563,19190202,    0,     ,
563,19190203,    0,     ,
563,19190204,    0,     ,
563,19190205,    0,     ,
563,19190206,    0,     ,
563,19190207,    0,     ,
563,19190208,    0,     ,
563,19190209,    0,     ,
563,19190210,    0,     ,
563,19190211,    0,     ,
563,19190212,    0,     ,
563,19190213,    0,     ,
563,19190214,    0,     ,
563,19190215,    0,     ,
563,19190216,    0,     ,
563,19190217,   75,     ,
563,19190218,   14,     ,
563,19190219,   55,     ,
563,19190220,   12,     ,
563,19190221,   30,     ,
563,19190222,   41,     ,
563,19190223,   70,     ,
