parameter,base_value,mse,mse_up,mse_down,importance,model
w_t,0.5,108.17577931412795,93.12261481884218,124.99119047070396,16.815411156576005,SimpleModel
lag_b,15.0,108.17577931412795,109.69512083277567,107.38127110217862,1.519341518647721,SimpleModel
Idry,250.0,108.17577931412795,108.67823484886895,107.56859436670815,0.6071849474197961,SimpleModel
perc_rate,0.01,108.17577931412795,107.62897071558844,108.72876164902034,0.5529823348923912,SimpleModel
w_b,1.0,108.17577931412795,107.62523394528,108.17577931412795,0.5505453688479491,SimpleModel
Smax,600.0,108.17577931412795,108.11238857654538,108.3268994273254,0.15112011319745022,SimpleModel
alpha_w,0.5,108.17577931412795,108.2627358789185,108.09216375946633,0.08695656479055458,SimpleModel
Emax,5.0,108.17577931412795,108.19124779680335,108.15894818004122,0.016831134086729094,SimpleModel
Iwet,50.0,108.17577931412795,108.17577931412795,108.17577931412795,0.0,SimpleModel
lag_q,5.0,108.17577931412795,108.17577931412795,108.17577931412795,0.0,SimpleModel
w_q,1.0,108.17577931412795,108.17577931412795,108.17577931412795,0.0,SimpleModel
w_t,0.5,113.93049677923698,98.3052142508098,131.31802596895443,17.387529189717455,ComplexModel
lag_b,15.0,113.93049677923698,113.90210976079,113.89863521752842,0.0318615617085527,ComplexModel
Emax,5.0,113.93049677923698,113.91155270049265,113.9469755204092,0.01894407874432602,ComplexModel
Gmax,500.0,113.93049677923698,113.92539716479372,113.93673804191742,0.006241262680447335,ComplexModel
gw_init,250.0,113.93049677923698,113.9361134998205,113.924887543573,0.005616720583518031,ComplexModel
perc_rate,0.01,113.93049677923698,113.924887543573,113.9361134998205,0.005616720583518031,ComplexModel
w_b,1.0,113.93049677923698,113.924887543573,113.93049677923698,0.005609235663968093,ComplexModel
capacity_urban,0.4,113.93049677923698,113.93330602488777,113.92745741511138,0.003039364125598354,ComplexModel
capacity_organic,0.825,113.93049677923698,113.93189341151692,113.92904552013346,0.0014512591035185096,ComplexModel
capacity_sand_fine,0.37,113.93049677923698,113.93166642544851,113.92928906162776,0.0012077176092191166,ComplexModel
capacity_sand_medium,0.36,113.93049677923698,113.9312253582021,113.92975360726322,0.00074317197375251,ComplexModel
capacity_sand_coarse,0.345,113.93049677923698,113.93094733474715,113.9300406853637,0.0004560938732680597,ComplexModel
capacity_silt,0.45,113.93049677923698,113.93088887721757,113.93010049349496,0.0003962857420134469,ComplexModel
capacity_clay,0.525,113.93049677923698,113.9307260077975,113.93026612569989,0.00023065353708773273,ComplexModel
field_capacity_urban,0.15,113.93049677923698,113.93051632111096,113.93047723745374,1.9541873982120705e-05,ComplexModel
field_capacity_organic,0.44,113.93049677923698,113.93051032825996,113.93048323025762,1.3549022980896552e-05,ComplexModel
field_capacity_sand_fine,0.14,113.93049677923698,113.93050480442224,113.93048875406703,8.025185266546941e-06,ComplexModel
field_capacity_sand_medium,0.13,113.93049677923698,113.93050152139006,113.93049203708924,4.742153080883327e-06,ComplexModel
field_capacity_silt,0.3,113.93049677923698,113.93050146927847,113.93049208920074,4.690041492949604e-06,ComplexModel
field_capacity_clay,0.36,113.93049677923698,113.93049959326125,113.93049396521461,2.8140242704921548e-06,ComplexModel
field_capacity_sand_coarse,0.1,113.93049677923698,113.93049912425707,113.93049443421822,2.345020092775485e-06,ComplexModel
gw_drain_factor,0.05,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
field_capacity_stone,0.0,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
Iwet,50.0,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
w_wetness_soilstore,0.5,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
w_wetness_percipitation,0.5,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
gw_recharge_factor,0.1,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
w_q,1.0,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
lag_q,5.0,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
field_capacity_gravel,0.15,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
capacity_stone,0.0,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
Idry,250.0,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
capacity_gravel,0.3,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
alpha_w,0.5,113.93049677923698,113.93049677923698,113.93049677923698,0.0,ComplexModel
