parameter,base_value,mse,mse_up,mse_down,importance,model
w_t,0.5,2023957.9984902274,1870259.6030093648,2201451.4390194765,177493.44052924914,SimpleModel
Idry,250.0,2023957.9984902274,2023968.6119164247,2023445.0510235638,512.9474666635506,SimpleModel
lag_b,15.0,2023957.9984902274,2023938.5697823996,2023918.74948006,39.249010167317465,SimpleModel
w_b,1.0,2023957.9984902274,2023946.2815899777,2023957.9984902274,11.716900249710307,SimpleModel
perc_rate,0.01,2023957.9984902274,2023946.3338311955,2023969.67374069,11.675250462722033,SimpleModel
alpha_w,0.5,2023957.9984902274,2023956.5456428055,2023960.0666962732,2.0682060457766056,SimpleModel
Smax,600.0,2023957.9984902274,2023957.6311859288,2023958.4451987701,0.44670854276046157,SimpleModel
Emax,5.0,2023957.9984902274,2023958.4006373344,2023957.594365252,0.4041249754372984,SimpleModel
Iwet,50.0,2023957.9984902274,2023957.9984902274,2023957.9984902274,0.0,SimpleModel
lag_q,5.0,2023957.9984902274,2023957.9984902274,2023957.9984902274,0.0,SimpleModel
w_q,1.0,2023957.9984902274,2023957.9984902274,2023957.9984902274,0.0,SimpleModel
w_t,0.5,2023985.6789584307,1870279.463629641,2201486.9393356065,177501.26037717587,ComplexModel
Idry,250.0,2023985.6789584307,2023985.6789584307,2023403.8619989438,581.8169594868086,ComplexModel
lag_b,15.0,2023985.6789584307,2024012.1323596486,2024042.681804756,57.00284632528201,ComplexModel
Emax,5.0,2023985.6789584307,2023969.696677687,2024000.4240560487,15.982280743541196,ComplexModel
Gmax,500.0,2023985.6789584307,2023977.5400874855,2023995.6269264054,9.947967974701896,ComplexModel
perc_rate,0.01,2023985.6789584307,2023976.725042662,2023994.6330694437,8.954111013095826,ComplexModel
gw_init,250.0,2023985.6789584307,2023994.6325881656,2023976.7256308242,8.953629734925926,ComplexModel
w_b,1.0,2023985.6789584307,2023976.7256308242,2023985.6789584307,8.95332760643214,ComplexModel
capacity_sand_medium,0.36,2023985.6789584307,2023991.0257415976,2023979.7072122206,5.97174621000886,ComplexModel
capacity_silt,0.45,2023985.6789584307,2023989.7422226605,2023981.264618081,4.414340349612758,ComplexModel
capacity_urban,0.4,2023985.6789584307,2023985.8180795303,2023985.539457464,0.13950096676126122,ComplexModel
capacity_sand_fine,0.37,2023985.6789584307,2023985.8076585897,2023985.549933248,0.12902518268674612,ComplexModel
capacity_sand_coarse,0.345,2023985.6789584307,2023985.798972847,2023985.558661429,0.12029700167477131,ComplexModel
field_capacity_silt,0.3,2023985.6789584307,2023985.6914186575,2023985.6664982035,0.012460227124392986,ComplexModel
field_capacity_sand_medium,0.13,2023985.6789584307,2023985.6879574829,2023985.6699593777,0.008999052923172712,ComplexModel
gw_recharge_factor,0.1,2023985.6789584307,2023985.677888976,2023985.680027868,0.0010694547090679407,ComplexModel
gw_drain_factor,0.05,2023985.6789584307,2023985.6794931511,2023985.678423705,0.000534725608304143,ComplexModel
field_capacity_urban,0.15,2023985.6789584307,2023985.679189175,2023985.6787276852,0.00023074541240930557,ComplexModel
field_capacity_sand_fine,0.14,2023985.6789584307,2023985.679173792,2023985.678743068,0.00021536275744438171,ComplexModel
field_capacity_sand_coarse,0.1,2023985.6789584307,2023985.6791122602,2023985.6788046004,0.00015383027493953705,ComplexModel
Iwet,50.0,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
w_wetness_soilstore,0.5,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
w_wetness_percipitation,0.5,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
field_capacity_stone,0.0,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
capacity_gravel,0.3,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
capacity_organic,0.825,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
field_capacity_organic,0.44,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
field_capacity_gravel,0.15,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
field_capacity_clay,0.36,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
capacity_stone,0.0,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
lag_q,5.0,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
w_q,1.0,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
capacity_clay,0.525,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
alpha_w,0.5,2023985.6789584307,2023985.6789584307,2023985.6789584307,0.0,ComplexModel
