parameter,base_value,mse,mse_up,mse_down,importance,model
w_t,0.5,21.41269414342476,18.071426290939076,25.125078124942686,3.7123839815179274,SimpleModel
lag_b,15.0,21.41269414342476,21.58146589104355,21.182122898692132,0.23057124473262647,SimpleModel
Idry,250.0,21.41269414342476,21.478738035052167,21.332422422806783,0.08027172061797572,SimpleModel
perc_rate,0.01,21.41269414342476,21.340427418622724,21.485360618453623,0.07266647502886414,SimpleModel
w_b,1.0,21.41269414342476,21.34016988735183,21.41269414342476,0.07252425607292778,SimpleModel
alpha_w,0.5,21.41269414342476,21.426880080053124,21.400477047504317,0.014185936628365425,SimpleModel
Smax,600.0,21.41269414342476,21.41033631281312,21.415562486270282,0.0028683428455238413,SimpleModel
Emax,5.0,21.41269414342476,21.415276315593562,21.410099983051676,0.0025941603730821328,SimpleModel
Iwet,50.0,21.41269414342476,21.41269414342476,21.41269414342476,0.0,SimpleModel
lag_q,5.0,21.41269414342476,21.41269414342476,21.41269414342476,0.0,SimpleModel
w_q,1.0,21.41269414342476,21.41269414342476,21.41269414342476,0.0,SimpleModel
w_t,0.5,21.882841986017446,18.488273191887092,25.64852690918006,3.7656849231626133,ComplexModel
Emax,5.0,21.882841986017446,21.81790366894023,21.94135976003164,0.06493831707721753,ComplexModel
Gmax,500.0,21.882841986017446,21.858473771977888,21.912760973330087,0.029918987312640866,ComplexModel
perc_rate,0.01,21.882841986017446,21.856039947393914,21.90976442778783,0.02692244177038461,ComplexModel
gw_init,250.0,21.882841986017446,21.90976339466227,21.85604119511711,0.026921408644824396,ComplexModel
w_b,1.0,21.882841986017446,21.85604119511711,21.882841986017446,0.02680079090033516,ComplexModel
lag_b,15.0,21.882841986017446,21.86193498722185,21.900644088268546,0.020906998795595655,ComplexModel
capacity_sand_medium,0.36,21.882841986017446,21.899322623100733,21.864531701915006,0.018310284102440733,ComplexModel
capacity_organic,0.825,21.882841986017446,21.893599593687963,21.87133375323583,0.01150823278161539,ComplexModel
capacity_sand_fine,0.37,21.882841986017446,21.88393555990573,21.881741112773028,0.00110087324441821,ComplexModel
capacity_sand_coarse,0.345,21.882841986017446,21.883607511968215,21.88207289030342,0.0007690957140269461,ComplexModel
capacity_urban,0.4,21.882841986017446,21.88343400886663,21.88224783042901,0.0005941555884376726,ComplexModel
capacity_silt,0.45,21.882841986017446,21.883175260567462,21.882508036656862,0.0003339493605842847,ComplexModel
field_capacity_sand_medium,0.13,21.882841986017446,21.88289406576829,21.88278990672644,5.207975084431382e-05,ComplexModel
field_capacity_organic,0.44,21.882841986017446,21.882891292278845,21.88279268016821,4.9306261399095774e-05,ComplexModel
field_capacity_sand_fine,0.14,21.882841986017446,21.882845437442327,21.882838534594587,3.451424881006915e-06,ComplexModel
gw_recharge_factor,0.1,21.882841986017446,21.882839703795156,21.88284426821754,2.2822222902618705e-06,ComplexModel
field_capacity_silt,0.3,21.882841986017446,21.882843834994812,21.882840137040667,1.8489773658814102e-06,ComplexModel
field_capacity_sand_coarse,0.1,21.882841986017446,21.882843834994812,21.882840137040667,1.8489773658814102e-06,ComplexModel
field_capacity_urban,0.15,21.882841986017446,21.882843834994812,21.882840137040667,1.8489773658814102e-06,ComplexModel
gw_drain_factor,0.05,21.882841986017446,21.882843127120267,21.882840844909076,1.1411083704615521e-06,ComplexModel
Iwet,50.0,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
w_wetness_soilstore,0.5,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
w_wetness_percipitation,0.5,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
field_capacity_stone,0.0,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
capacity_gravel,0.3,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
capacity_clay,0.525,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
field_capacity_gravel,0.15,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
field_capacity_clay,0.36,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
capacity_stone,0.0,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
Idry,250.0,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
lag_q,5.0,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
w_q,1.0,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
alpha_w,0.5,21.882841986017446,21.882841986017446,21.882841986017446,0.0,ComplexModel
