parameter,base_value,mse,mse_up,mse_down,importance,model
Idry,250.0,212.94231116618082,197.27206562327387,246.38795914637498,33.44564798019417,SimpleModel
w_t,0.5,212.94231116618082,191.7863954762578,237.26939377545864,24.327082609277824,SimpleModel
alpha_w,0.5,212.94231116618082,205.43992044299347,222.0361164874503,9.093805321269485,SimpleModel
lag_q,5.0,212.94231116618082,218.56168261241365,204.910865291015,8.031445875165815,SimpleModel
w_q,1.0,212.94231116618082,218.69850454805416,212.94231116618082,5.756193381873345,SimpleModel
Iwet,50.0,212.94231116618082,209.24349782730346,217.11789368904854,4.175582522867728,SimpleModel
lag_b,15.0,212.94231116618082,214.52353333688694,211.4647368752378,1.581222170706127,SimpleModel
perc_rate,0.01,212.94231116618082,212.40735365302675,213.48403828668336,0.5417271205025429,SimpleModel
w_b,1.0,212.94231116618082,212.4041356770169,212.94231116618082,0.5381754891639048,SimpleModel
Smax,600.0,212.94231116618082,212.80453751063578,213.0860353184659,0.14372415228507407,SimpleModel
Emax,5.0,212.94231116618082,212.95686870639167,212.92770098493122,0.014610181249594234,SimpleModel
Idry,250.0,223.26553112862425,203.52151733129975,259.4927643822533,36.227233253629066,ComplexModel
w_t,0.5,223.26553112862425,201.72757376565846,247.97465541094476,24.709124282320516,ComplexModel
w_wetness_percipitation,0.5,223.26553112862425,237.6392418688631,209.64244555963364,14.373710740238863,ComplexModel
lag_q,5.0,223.26553112862425,229.476116492925,215.02332570726443,8.242205421359813,ComplexModel
alpha_w,0.5,223.26553112862425,230.75990096025487,215.71718369648477,7.5483474321394795,ComplexModel
w_q,1.0,223.26553112862425,230.1701963008732,223.26553112862425,6.90466517224894,ComplexModel
Iwet,50.0,223.26553112862425,219.0332850595016,225.84243064265237,4.232246069122652,ComplexModel
Emax,5.0,223.26553112862425,222.30790619710115,221.52370485316337,1.7418262754608804,ComplexModel
capacity_organic,0.825,223.26553112862425,222.68729743454816,223.14688439029686,0.5782336940760899,ComplexModel
w_wetness_soilstore,0.5,223.26553112862425,222.85468181562135,222.767830887431,0.4977002411932574,ComplexModel
capacity_clay,0.525,223.26553112862425,222.98333337997627,223.31814795856,0.28219774864797387,ComplexModel
lag_b,15.0,223.26553112862425,223.19560157498896,223.17987295225947,0.08565817636477391,ComplexModel
capacity_urban,0.4,223.26553112862425,223.19452821430878,223.3376462709396,0.07211514231534011,ComplexModel
capacity_sand_medium,0.36,223.26553112862425,223.23344362313546,223.2978438509465,0.03231272232224569,ComplexModel
capacity_silt,0.45,223.26553112862425,223.23344362313546,223.2978438509465,0.03231272232224569,ComplexModel
Gmax,500.0,223.26553112862425,223.25299048243863,223.2808737362968,0.015342607672550912,ComplexModel
perc_rate,0.01,223.26553112862425,223.25173668774576,223.27933900728127,0.013807878657019046,ComplexModel
gw_init,250.0,223.26553112862425,223.27933886641108,223.25173685959382,0.013807737786834196,ComplexModel
w_b,1.0,223.26553112862425,223.2561177435689,223.26553112862425,0.009413385055353274,ComplexModel
capacity_sand_fine,0.37,223.26553112862425,223.25891704674882,223.27215472651,0.006623597885749177,ComplexModel
capacity_sand_coarse,0.345,223.26553112862425,223.25936364479682,223.27170688595825,0.0061757573340059935,ComplexModel
field_capacity_organic,0.44,223.26553112862425,223.2656545688727,223.26540768949928,0.00012344024844423984,ComplexModel
field_capacity_clay,0.36,223.26553112862425,223.26560599768425,223.2654562599774,7.48690600005375e-05,ComplexModel
field_capacity_urban,0.15,223.26553112862425,223.26554119164587,223.26552106561,1.0063021619544088e-05,ComplexModel
field_capacity_silt,0.3,223.26553112862425,223.2655391790409,223.26552307821217,8.050416653304637e-06,ComplexModel
field_capacity_sand_medium,0.13,223.26553112862425,223.265535489266,223.2655267679838,4.3606417534647335e-06,ComplexModel
field_capacity_sand_fine,0.14,223.26553112862425,223.26553206783925,223.2655301894092,9.392150559506263e-07,ComplexModel
field_capacity_sand_coarse,0.1,223.26553112862425,223.26553179949212,223.2655304577564,6.708678768063692e-07,ComplexModel
gw_recharge_factor,0.1,223.26553112862425,223.26553081587616,223.2655314413722,3.12748085207204e-07,ComplexModel
gw_drain_factor,0.05,223.26553112862425,223.26553128499822,223.26553097225016,1.5637408523616614e-07,ComplexModel
field_capacity_gravel,0.15,223.26553112862425,223.26553112862425,223.26553112862425,0.0,ComplexModel
field_capacity_stone,0.0,223.26553112862425,223.26553112862425,223.26553112862425,0.0,ComplexModel
capacity_stone,0.0,223.26553112862425,223.26553112862425,223.26553112862425,0.0,ComplexModel
capacity_gravel,0.3,223.26553112862425,223.26553112862425,223.26553112862425,0.0,ComplexModel
